Название;Кол-во;Си;Описание;цена;категории;картинки
Самса с курицей;1;шт;;300;выпечка;самса_скурицей.jpg
Самса с мясом;1;шт;;350;выпечка;самса_смясом.jpg
Почо с сыром;1;шт;;300;выпечка;почо_ссыром.jpg
Блины;3;шт;;300;выпечка;блины_1.jpg
Блины с творогом;2;шт;;350;выпечка;блины_2.jpg
Блины с мясом;2;шт;;350;выпечка;блины_3.jpg
Чебуреки;1;шт;;375;выпечка;чебуреки.jpg
Кекс;1;шт;;200;выпечка;кекс.jpg
Сосиски в тесте;1;шт;;250;выпечка;сосиски_втесте.jpg
Мампар;1;шт;кисло-острый суп с кусочками теста мясом и зеленью(кинза) с особым ароматом;990;суп;мампар.jpg
Пельмени с бульоном;1;шт;классическое аппетитное блюдо знакомое каждому;890;суп;пельмени.jpg
Лапша по-домашнему;1;шт;кусочки куриного мяса с лапшичкой и зеленью на курином бульоне;890;суп;бульон_подом.jpg
Окрошка;1;шт;холодный суп на кефире с мясом и овощами;990;суп;окрошка.jpg
Цезарь;1;шт;традиционный французский салат с курицей с сыром пармезан сухариками и соусом айсберг;1290;салат;цезарь.jpg
Пекинский;1;шт;огурцы помидоры лук перец кинза мясо отварное заправленный соевым соусом;990;салат;пекинский.jpg
Малибу;1;шт;курица помидор сухарики сыр листья салата кукуруза майонез;890;салат;малибу.jpg
Греческий;1;шт;крупно нарезанные овощи с брынзой и маслинами заправленный маслом и соком лимона;990;салат;греческий.jpg
Крабик;1;шт;крабовые палочки с кукурузой рисом свежими огурцами с майонезом;890;салат;крабик.jpg
Ачичук;1;шт;традиционный узбекский салат из тонко нарезанных помидоров и лука;690;салат;ачичук.jpg
Свежий;1;шт;салат из помидор и огурцов заправленный маслом или майонезом на выбор;690;салат;свежий.jpg
Ташкентский плов;380;гр;рис лазер мясо говядины нут изюм морковь лук зира яйца перчик острый;1190;восточно-европейская;ташкентский.jpg
Ханский плов;400;гр;рис лазер мясо говядины нут изюм морковь лук зира яйца перчик острый казы;1590;восточно-европейская;ханский_плов.jpg
Куырдак из конины;1;шт;трационное блюдо из картофеля и мяса;2590;восточно-европейская;куырдак.jpeg
Манты с мясом;5;шт;начинка из крупного говяжьего фарша и лука;990;восточно-европейская;манты_смясом.jpg
Манты жаренные;5;шт;поджаренная до золотистой корочки во фритюре;1090;восточно-европейская;манты_жаренные.jpg
Хошан на пару;5;шт;манты на дрожжевом тесте;990;восточно-европейская;хошан_напару.jpg
Хошан жаренный;5;шт;жаренные манты на дрожжевом тесте;1090;восточно-европейская;хошан_жаренный.jpg
Котлеты говяжьи;2;шт;настоящие домашние из мяса говядины;890;восточно-европейская;котлеты_говяжьи.jpg
Бризоль;1;шт;блин из говяжьего фарша обжаренный с яйцом с начинкой из свяжего салата;990;восточно-европейская;бризол.jpg
Мясо по-тайский;1;шт;жаренная говядина с овощами по-тайский;1490;восточно-европейская;мясо_потайский.jpeg
Фри с мясом;1;шт;ммм просто вкуснотище;1490;восточно-европейская;фри_смясом.jpg
Гуйру лагман;1;шт;подлив с говядиной и жаренными овощами со специями;1290;лагман;гуйру_лагман.jpg
Суйру лагман;1;шт;подлив с кусками говядины с овощами;1290;лагман;суйру_лагман.jpg
Гуйру Цомян;1;шт;жаренный лагман с овощами и говядиной на соевом соусе с чесноком;1390;цомяны;гуйру_цомян.jpg
Диньдинь Цомян;1;шт;мелко нарезанные овощи с говядиной и тестом обжаренные со специями и соусом;1390;цомяны;диньдинь_цомян.jpg
Суйру Цомян;1;шт;жаренный лагман с подливом мелко рубленных овощей  и мясом;1390;цомяны;суйру_цомян.jpg
Гуйру ганфан;1;шт;подлив с говядиной и жаренными овощами со специями и рисом;1290;ганфан;гуйру_цомян.jpg
Суйру ганфан;1;шт;подлив с кусочками говядины и овощами с рисом;1290;ганфан;суйру_ганфан.jpg
Шах плов;1;шт;рис лазер мясо говядины нут изюм морковь лук и зира яйцо перчик острый и все это в запеченные в пироге;11990;блюдо на заказ;шах_плов.jpg
Дапанджи;1;шт;классическое блюдо из курицы с картофелем овощами и имбирем;10990;блюдо на заказ;дапанджи.jpg
Куырдак из конины;1;шт;традиционное блюдо из картофеля и мяса;14990;блюдо на заказ;куырдак.jpg
Бесбармак;1;шт;традиционное блюдо из теста и мяса конины;14990;блюдо на заказ;бесбармак.jpg
Картофельное пюре;1;шт;;350;гарнир;картофельное_пюре.jpg
Картофель фри;1;шт;;750;гарнир;фри_.jpg
Рис;1;шт;;350;гарнир;рис.jpg
Гречка;1;шт;;350;гарнир;гречка.jpg
Сложный гарнир;1;шт;;450;гарнир;гарнир_сложный.jpg
Фруктовые чаи в ассортименте;1;шт;;850;напиток;фруктовый_Чай.jpg
Ташкентский чай;1;шт;;850;напиток;фруктовый_Чай.jpg
Чай;1;стакан;;150;напиток;чай_стакан.jpg
Чайник чая;1;шт;;450;напиток;чайник_чая.jpg
Кофе;1;шт;;200;напиток;кофе.jpg
Компот/каркаде;1;стакан;;300;напиток;компот_стакан.jpg
Компот/каркаде;1;графин;;700;напиток;компот_графин.jpg
Компот/каркаде;0.5;л;;400;напиток;компот_05.jpg
Coca-Cola;0.5;л;;400;напиток;cola_05.jpg
Coca-Cola;1;л;;600;напиток;cola_литр.jpg
Вода без газа;0.5;л;;300;напиток;вода_05.jpg
Вода без газа;1;л;;400;напиток;вода_литр.jpg
Fusetea;0.5;л;;400;напиток;fusetea_05.jpg
Лимонад в ассортименте;1;шт;;1290;напиток;лимонад.jpg
Лимонад;0.5;л;;700;напиток;лимонад_05.jpeg
Молоко;1;стакан;;50;дополнительно;молоко.jpeg
Молоко;1;стакан;;100;дополнительно;молоко.jpeg
Лимон;1;стакан;;50;дополнительно;лимон.jpg
Лимон;1;стакан;;100;дополнительно;лимон.jpg
Яйцо;1;шт;;150;дополнительно;яйцо.jpg
Перчик;1;шт;;50;дополнительно;перчик.jpg
Казы;1;шт;;200;дополнительно;казы.jpg
Сметана;1;шт;;100;дополнительно;сметана.jpg
Сгущенное молоко;1;шт;;100;дополнительно;сгущенное_молоко.jpg
